person_id,full_name,first_name,last_name,title,standardized_title,seniority_level,department,company_name,company_domain,company_id,work_email,email_status,email_confidence_score,mail_provider,direct_phone,phone_extension,sources,created_at
per_9d1f34b4-698a-d806-c63a-3b2340233c41,Eduardo Dominguez,Eduardo,Dominguez,Director Comercial,Chief Revenue Officer (CRO),C_SUITE,SALES_MARKETING,TRANSPORTES MODERNA S.A.P.I. DE C.V.,transportesmoderna.mx,mx_c1b978dc-ef28-c4fc-acd8-f4e4874c583c,edominguez@transportesmoderna.mx,VERIFIED,85,CUSTOM_SMTP,+525590688054,,DENUE,2026-09-06T14:49:28.011512+00:00
per_546b1e5c-bde3-553b-8333-bdf93b7b9cb8,Javier Hernández,Javier,Hernández,Director Comercial,Chief Revenue Officer (CRO),C_SUITE,SALES_MARKETING,CONSULTORES LATINOAMERICANA S.C.,consultoreslatinoa.mx,mx_832153b0-5342-1191-cdb3-b06517c7a6a2,jhernández@consultoreslatinoa.mx,VERIFIED,85,CUSTOM_SMTP,+524144846241,,DENUE,2026-09-06T14:49:28.011512+00:00
per_9e0cdea9-cf67-a324-6ae7-7e203f8f56ec,Andrea Navarro,Andrea,Navarro,Socio Fundador,Founder,FOUNDER,EXECUTIVE,PROVEEDORA GLOBAL S.A.B. DE C.V.,proveedoraglobal.com,mx_99373fa3-6074-aafb-9630-c0e1c4fd6282,anavarro@proveedoraglobal.com,VERIFIED,85,CUSTOM_SMTP,+528092514237,,DENUE,2026-09-06T14:49:28.011512+00:00
per_c852f0ff-ea93-96f7-c9b0-80ce2c05cc63,Claudia Dominguez,Claudia,Dominguez,Socio Fundador,Founder,FOUNDER,EXECUTIVE,SOLUCIONES ESPECIALIZADA S.A.P.I. DE C.V.,solucionesespecial.com.mx,mx_863a1a26-786b-5835-6787-c596c6185d31,cdominguez@solucionesespecial.com.mx,VERIFIED,85,CUSTOM_SMTP,+529075651061,,DENUE,2026-09-06T14:49:28.011512+00:00
per_0b4dc5af-1cf4-bb50-c217-6216995da6ca,Sofia Salinas,Sofia,Salinas,Directora de Recursos Humanos,Chief Human Resources Officer (CHRO),C_SUITE,HR_PEOPLE,PLASTICOS DEL NORTE S.A. DE C.V.,plasticosdelnorte.com.mx,mx_ac833b1a-1e0d-2c3a-d383-955c123fc379,ssalinas@plasticosdelnorte.com.mx,VERIFIED,85,CUSTOM_SMTP,+527858816199,,DENUE,2026-09-06T14:49:28.011512+00:00
per_f962ff53-d6ae-6ee6-0472-bb38ac897c48,Javier López,Javier,López,Director de Tecnología,Chief Technology Officer (CTO),C_SUITE,ENGINEERING_IT,PLASTICOS DEL PACIFICO S. DE R.L. DE C.V.,plasticosdelpacifi.mx,mx_c75d5c87-fd3a-61d4-0ff1-97726a18b245,jlópez@plasticosdelpacifi.mx,VERIFIED,85,CUSTOM_SMTP,+527987295926,,DENUE,2026-09-06T14:49:28.011512+00:00
per_cbc883ad-f35f-11c9-d298-5565a4dcdd49,Guillermo Salinas,Guillermo,Salinas,Director de Operaciones,Chief Operating Officer (COO),C_SUITE,OPERATIONS,ENERGIA GLOBAL S.A.S.,energiaglobal49.mx,mx_14faaf34-346c-6b55-5689-82bdbb76e229,gsalinas@energiaglobal49.mx,VERIFIED,85,CUSTOM_SMTP,+526719048792,,DENUE,2026-09-06T14:49:28.011512+00:00
per_1b3b950c-e62f-2df7-ba2d-06573c8c6f14,Gabriel García,Gabriel,García,Director Comercial,Chief Revenue Officer (CRO),C_SUITE,SALES_MARKETING,CONSULTORES MODERNA S.A.P.I. DE C.V.,consultoresmoderna.com,mx_4e0eb53b-717a-2ef4-ff06-4bdbf394c1e2,ggarcía@consultoresmoderna.com,VERIFIED,85,CUSTOM_SMTP,+525791837971,,DENUE,2026-09-06T14:49:28.011512+00:00
per_6d48b2b2-0421-a70d-d1ab-78c5c2d8c0d1,Gabriel Morales,Gabriel,Morales,Director de Finanzas,Chief Financial Officer (CFO),C_SUITE,FINANCE,SOLUCIONES DE LAS AMERICAS S. DE R.L. DE C.V.,solucionesdelasame.com.mx,mx_62cfbaba-d6b6-fa93-f043-4de289beebb9,gmorales@solucionesdelasame.com.mx,VERIFIED,85,CUSTOM_SMTP,+527897387022,,DENUE,2026-09-06T14:49:28.011512+00:00
per_aa16bb43-f507-7c17-3af4-97c790235a73,Patricia Navarro,Patricia,Navarro,Director de Tecnología,Chief Technology Officer (CTO),C_SUITE,ENGINEERING_IT,METALURGICA DE OCCIDENTE S.A.B. DE C.V.,metalurgicadeoccid.mx,mx_a60ecfa3-a705-a036-edef-d8dacfe7b5fa,pnavarro@metalurgicadeoccid.mx,VERIFIED,85,CUSTOM_SMTP,+527911941330,,DENUE,2026-09-06T14:49:28.011512+00:00
per_f7f933e0-edba-7f02-81a4-0be2129892a0,Alejandro Treviño,Alejandro,Treviño,Director General,Chief Executive Officer (CEO),C_SUITE,EXECUTIVE,CONSTRUCCIONES NACIONAL S.A. DE C.V.,construccionesnaci.com,mx_34709595-1e0a-4368-e091-11554192ef76,atreviño@construccionesnaci.com,VERIFIED,85,CUSTOM_SMTP,+524439446077,,DENUE,2026-09-06T14:49:28.011512+00:00
per_3f1f9805-2d90-1e77-4b64-6cc6f1f50ba2,Rodrigo Alarcón,Rodrigo,Alarcón,Socio Fundador,Founder,FOUNDER,EXECUTIVE,ALIMENTOS Y BEBIDAS INDUSTRIAL S.A. DE C.V.,alimentosybebidasi.mx,mx_6d8726f0-05a6-52b4-03cb-a363b5373af8,ralarcón@alimentosybebidasi.mx,VERIFIED,85,CUSTOM_SMTP,+528267848602,,DENUE,2026-09-06T14:49:28.011512+00:00
per_e9fdd491-151b-6f8f-fa21-ef9c08734c9e,Roberto Salinas,Roberto,Salinas,Director de Finanzas,Chief Financial Officer (CFO),C_SUITE,FINANCE,ALIMENTOS Y BEBIDAS AVANZADA S.A. DE C.V.,alimentosybebidasa.com,mx_bac0d138-4f7f-71ca-0d8e-21d7142212e7,rsalinas@alimentosybebidasa.com,VERIFIED,85,CUSTOM_SMTP,+526878241904,,DENUE,2026-09-06T14:49:28.011512+00:00
per_1167e868-2bb2-f8e6-fcd1-1a8c2f779587,Gabriel López,Gabriel,López,Director Comercial,Chief Revenue Officer (CRO),C_SUITE,SALES_MARKETING,ALIMENTOS Y BEBIDAS MEXICANA S.A. DE C.V.,alimentosybebidasm.com,mx_cc6d250d-1ec3-72b2-da2c-aee67c25aa10,glópez@alimentosybebidasm.com,VERIFIED,85,CUSTOM_SMTP,+526364515905,,DENUE,2026-09-06T14:49:28.011512+00:00
per_ede157bf-869f-6f4f-e651-dab320f9b982,Mariana Vega,Mariana,Vega,Director Comercial,Chief Revenue Officer (CRO),C_SUITE,SALES_MARKETING,ALIMENTOS Y BEBIDAS ESTRATEGICA S.A.B. DE C.V.,alimentosybebidase.mx,mx_135ae82d-ffc9-629e-079f-f64cc152effc,mvega@alimentosybebidase.mx,VERIFIED,85,CUSTOM_SMTP,+527136878822,,DENUE,2026-09-06T14:49:28.011512+00:00
per_99977a5e-3edc-ebd9-ffe8-0f17e76af5b0,Fernando González,Fernando,González,Directora de Recursos Humanos,Chief Human Resources Officer (CHRO),C_SUITE,HR_PEOPLE,METALURGICA EMPRESARIAL S.A.P.I. DE C.V.,metalurgicaempresa.mx,mx_d2b9c4c4-2feb-5766-9aae-edbeb263cf1e,fgonzález@metalurgicaempresa.mx,VERIFIED,85,CUSTOM_SMTP,+526217851136,,DENUE,2026-09-06T14:49:28.011512+00:00
per_51dbac5f-c14c-df61-7b79-c78d84dc694d,Jorge García,Jorge,García,Director de Tecnología,Chief Technology Officer (CTO),C_SUITE,ENGINEERING_IT,METALURGICA EMPRESARIAL S.C.,metalurgicaempresa.com,mx_71a34302-e2df-252f-3955-ac46ce743736,jgarcía@metalurgicaempresa.com,VERIFIED,85,CUSTOM_SMTP,+524258764834,,DENUE,2026-09-06T14:49:28.011512+00:00
per_774b09fc-49c9-493f-fb4b-7962485b41f8,Patricia Valenzuela,Patricia,Valenzuela,Director de Tecnología,Chief Technology Officer (CTO),C_SUITE,ENGINEERING_IT,CONSTRUCCIONES DEL NORTE S. DE R.L. DE C.V.,construccionesdeln.mx,mx_164b853b-32ba-f2e4-3702-12283d01de5f,pvalenzuela@construccionesdeln.mx,VERIFIED,85,CUSTOM_SMTP,+529180798218,,DENUE,2026-09-06T14:49:28.011512+00:00
per_dae1e285-a150-eac2-81c0-404c7fa91d5b,Claudia Alarcón,Claudia,Alarcón,Director de Operaciones,Chief Operating Officer (COO),C_SUITE,OPERATIONS,QUIMICA ESTRATEGICA S.A.B. DE C.V.,quimicaestrategica.mx,mx_3b807e16-9dbe-4c0b-7cd3-16f026d049a6,calarcón@quimicaestrategica.mx,VERIFIED,85,CUSTOM_SMTP,+526792539385,,DENUE,2026-09-06T14:49:28.011512+00:00
per_df0bc425-61b2-664f-d824-74004d0deb7a,Jorge Valenzuela,Jorge,Valenzuela,Director Comercial,Chief Revenue Officer (CRO),C_SUITE,SALES_MARKETING,INNOVACION MODERNA S.C.,innovacionmoderna.mx,mx_1b066200-0c68-7603-7ba2-32f5fdb5f226,jvalenzuela@innovacionmoderna.mx,VERIFIED,85,CUSTOM_SMTP,+525518057441,,DENUE,2026-09-06T14:49:28.011512+00:00
per_ed6ff2d6-4b28-df1d-ba9d-90dad36b684a,Daniel Mendoza,Daniel,Mendoza,Director Comercial,Chief Revenue Officer (CRO),C_SUITE,SALES_MARKETING,CORPORATIVO DEL PACIFICO S.A.P.I. DE C.V.,corporativodelpaci.mx,mx_fb1bc82c-a1b6-06d4-81e6-7552bf657f90,dmendoza@corporativodelpaci.mx,VERIFIED,85,CUSTOM_SMTP,+528116475121,,DENUE,2026-09-06T14:49:28.011512+00:00
per_c996f9be-4bbd-e354-fe95-06dc55c60165,Claudia García,Claudia,García,Directora de Recursos Humanos,Chief Human Resources Officer (CHRO),C_SUITE,HR_PEOPLE,CORPORATIVO DEL CENTRO S.A.B. DE C.V.,corporativodelcent.com.mx,mx_731bf548-38bb-f7f3-8626-ff1a516aa928,cgarcía@corporativodelcent.com.mx,VERIFIED,85,CUSTOM_SMTP,+525494026646,,DENUE,2026-09-06T14:49:28.011512+00:00
per_072cb89f-6775-de9d-ab36-e901138b2cd8,Claudia Navarro,Claudia,Navarro,Directora de Recursos Humanos,Chief Human Resources Officer (CHRO),C_SUITE,HR_PEOPLE,CORPORATIVO DEL CENTRO S. DE R.L. DE C.V.,corporativodelcent.mx,mx_8d380c04-f2c1-e20e-4d14-ae508c2b24a9,cnavarro@corporativodelcent.mx,VERIFIED,85,CUSTOM_SMTP,+525372628703,,DENUE,2026-09-06T14:49:28.011512+00:00
per_bd46769f-ea3c-8690-c6c6-9e4da9e6e2fc,Fernando Salinas,Fernando,Salinas,Director General,Chief Executive Officer (CEO),C_SUITE,EXECUTIVE,FARMACEUTICA CENTRAL S.A.S.,farmaceuticacentra.com,mx_61b1cc47-46c7-c68a-3b7f-cda5e7011f25,fsalinas@farmaceuticacentra.com,VERIFIED,85,CUSTOM_SMTP,+528182469278,,DENUE,2026-09-06T14:49:28.011512+00:00
per_20247bbf-92c2-c052-2534-a8ac97723cc7,David Hernández,David,Hernández,Directora de Recursos Humanos,Chief Human Resources Officer (CHRO),C_SUITE,HR_PEOPLE,ALIMENTOS Y BEBIDAS EMPRESARIAL S.A.B. DE C.V.,alimentosybebidase.mx,mx_c8c829f7-ca05-b226-2581-b988bae91699,dhernández@alimentosybebidase.mx,VERIFIED,85,CUSTOM_SMTP,+523368227816,,DENUE,2026-09-06T14:49:28.011512+00:00
per_437e21b9-7011-7ce3-3b2c-d208e2b4b175,Luis Hernández,Luis,Hernández,Director de Operaciones,Chief Operating Officer (COO),C_SUITE,OPERATIONS,ALIMENTOS Y BEBIDAS MODERNA S.A.B. DE C.V.,alimentosybebidasm.com,mx_834b30f1-ff72-1b54-0a7b-4b2b4299615a,lhernández@alimentosybebidasm.com,VERIFIED,85,CUSTOM_SMTP,+523377662134,,DENUE,2026-09-06T14:49:28.011512+00:00
per_409957a6-3235-ac62-08a2-6ee24ea6be82,Eduardo Garza,Eduardo,Garza,Director General,Chief Executive Officer (CEO),C_SUITE,EXECUTIVE,SOLUCIONES ESPECIALIZADA 93 S.A.P.I. DE C.V.,solucionesespecial.mx,mx_c8de7c68-5281-f06e-4063-4fdb906e5289,egarza@solucionesespecial.mx,VERIFIED,85,CUSTOM_SMTP,+527340218054,,DENUE,2026-09-06T14:49:28.011512+00:00
per_9ef27b94-6c4f-8e60-f776-78e2e6abac4d,Daniel Alarcón,Daniel,Alarcón,Socio Fundador,Founder,FOUNDER,EXECUTIVE,ENERGIA INDUSTRIAL 16 S.A. DE C.V.,energiaindustrial4.com.mx,mx_93b50c51-e935-cadb-f21f-11bae02ecb8e,dalarcón@energiaindustrial4.com.mx,VERIFIED,85,CUSTOM_SMTP,+529124533302,,DENUE,2026-09-06T14:49:28.011512+00:00
per_02ddc905-cbaa-ac32-bc6a-5a363f475967,Alejandro Treviño,Alejandro,Treviño,Directora de Recursos Humanos,Chief Human Resources Officer (CHRO),C_SUITE,HR_PEOPLE,SOLUCIONES MODERNA S.A.B. DE C.V.,solucionesmoderna.com,mx_7e155b5d-a174-fabe-45b9-61907e399098,atreviño@solucionesmoderna.com,VERIFIED,85,CUSTOM_SMTP,+527061628200,,DENUE,2026-09-06T14:49:28.011512+00:00
per_bf6ad98a-1a17-1971-18bf-afd2b77b1670,Claudia Treviño,Claudia,Treviño,Director de Tecnología,Chief Technology Officer (CTO),C_SUITE,ENGINEERING_IT,INDUSTRIAS CENTRAL 44 S.A. DE C.V.,industriascentral.com.mx,mx_ec35ea7b-7938-58e5-3318-6c299953e5ff,ctreviño@industriascentral.com.mx,VERIFIED,85,CUSTOM_SMTP,+525392470695,,DENUE,2026-09-06T14:49:28.011512+00:00
per_5481e926-714e-79e3-b09c-a68901b44f7d,Mariana Hernández,Mariana,Hernández,Directora de Recursos Humanos,Chief Human Resources Officer (CHRO),C_SUITE,HR_PEOPLE,IMPORTADORA DEL PACIFICO 17 S.A.B. DE C.V.,importadoradelpaci.mx,mx_24e9084f-dcf7-a4bf-10d9-13f1d3067085,mhernández@importadoradelpaci.mx,VERIFIED,85,CUSTOM_SMTP,+525118474125,,DENUE,2026-09-06T14:49:28.011512+00:00
per_0a5cc7ec-ede5-dca1-4361-e920346b60bf,Alejandro Benítez,Alejandro,Benítez,Director de Operaciones,Chief Operating Officer (COO),C_SUITE,OPERATIONS,ALIMENTOS Y BEBIDAS DEL NORTE S.A. DE C.V.,alimentosybebidasd.mx,mx_fa884d11-4ccf-c990-586a-eb6d0ae67dbf,abenítez@alimentosybebidasd.mx,VERIFIED,85,CUSTOM_SMTP,+524182705484,,DENUE,2026-09-06T14:49:28.011512+00:00
per_0d414912-f1d1-5a84-00ae-ceec4c0706b8,Alejandro Alarcón,Alejandro,Alarcón,Director de Tecnología,Chief Technology Officer (CTO),C_SUITE,ENGINEERING_IT,ALIMENTOS Y BEBIDAS ESPECIALIZADA S.A.S.,alimentosybebidase.com,mx_b7661446-ac50-1613-7ce4-f802a3e61cfc,aalarcón@alimentosybebidase.com,VERIFIED,85,CUSTOM_SMTP,+525753996002,,DENUE,2026-09-06T14:49:28.011512+00:00
per_46087c35-8f5a-6587-1565-e2cae725c82e,Gabriel Ruiz,Gabriel,Ruiz,Director General,Chief Executive Officer (CEO),C_SUITE,EXECUTIVE,ALIMENTOS Y BEBIDAS ESPECIALIZADA S.A.S.,alimentosybebidase.com,mx_b7661446-ac50-1613-7ce4-f802a3e61cfc,gruiz@alimentosybebidase.com,VERIFIED,85,CUSTOM_SMTP,+526650259555,,DENUE,2026-09-06T14:49:28.011512+00:00
per_bdad4127-5ad5-1da7-9726-186d30a5c254,Daniel López,Daniel,López,Director de Tecnología,Chief Technology Officer (CTO),C_SUITE,ENGINEERING_IT,ALIMENTOS Y BEBIDAS LATINOAMERICANA S. DE R.L. DE C.V.,alimentosybebidasl.mx,mx_5de5f2b4-bc10-9317-e1b5-b6be9599cf1c,dlópez@alimentosybebidasl.mx,VERIFIED,85,CUSTOM_SMTP,+524393234161,,DENUE,2026-09-06T14:49:28.011512+00:00
per_2b2313ae-f0f9-5c67-097b-d80d25d3d74b,Fernando Dominguez,Fernando,Dominguez,Director General,Chief Executive Officer (CEO),C_SUITE,EXECUTIVE,ALIMENTOS Y BEBIDAS CENTRAL S.C.,alimentosybebidasc.com.mx,mx_49ec735b-19c9-a28f-8b21-a958141c1d5b,fdominguez@alimentosybebidasc.com.mx,VERIFIED,85,CUSTOM_SMTP,+525092603327,,DENUE,2026-09-06T14:49:28.011512+00:00
per_7943ce58-3e1e-5bc5-3fe7-0f3fb57e8002,Mariana Ruiz,Mariana,Ruiz,Directora de Recursos Humanos,Chief Human Resources Officer (CHRO),C_SUITE,HR_PEOPLE,CORPORATIVO MODERNA 55 S.A. DE C.V.,corporativomoderna.mx,mx_b03a7bac-caaf-1661-def0-64c76e5df96a,mruiz@corporativomoderna.mx,VERIFIED,85,CUSTOM_SMTP,+524041150225,,DENUE,2026-09-06T14:49:28.011512+00:00
per_ccb7c4c0-5c0b-9cd9-16f3-ccd8751e36ed,Carlos Morales,Carlos,Morales,Socio Fundador,Founder,FOUNDER,EXECUTIVE,TRANSPORTES DINAMICA S.A.B. DE C.V.,transportesdinamic.com.mx,mx_05890180-cf1a-49d8-aa9a-7dca83ae5728,cmorales@transportesdinamic.com.mx,VERIFIED,85,CUSTOM_SMTP,+529764873360,,DENUE,2026-09-06T14:49:28.011512+00:00
per_f6c8a5b6-0e6b-f811-44f4-dc0644d2c95e,Eduardo Dominguez,Eduardo,Dominguez,Director General,Chief Executive Officer (CEO),C_SUITE,EXECUTIVE,MANUFACTURA CENTRAL S.A.S.,manufacturacentral.com.mx,mx_6fd9172f-2c75-ecd9-f2e4-438f803698c7,edominguez@manufacturacentral.com.mx,VERIFIED,85,CUSTOM_SMTP,+525343473918,,DENUE,2026-09-06T14:49:28.011512+00:00
per_cea7aeed-3127-9b72-b853-519cef0a06cc,Carlos Alarcón,Carlos,Alarcón,Directora de Recursos Humanos,Chief Human Resources Officer (CHRO),C_SUITE,HR_PEOPLE,EMPAQUES DE OCCIDENTE S.C.,empaquesdeoccident.com.mx,mx_8561b212-e242-a900-01c9-58fc5351f8b5,calarcón@empaquesdeoccident.com.mx,VERIFIED,85,CUSTOM_SMTP,+525076897143,,DENUE,2026-09-06T14:49:28.011512+00:00
per_356133a3-8c08-be36-e40f-d2232a54831c,Carlos Benítez,Carlos,Benítez,Director de Tecnología,Chief Technology Officer (CTO),C_SUITE,ENGINEERING_IT,PROVEEDORA AVANZADA S.C.,proveedoraavanzada.mx,mx_df43d638-56b8-634d-749e-2634b58eadee,cbenítez@proveedoraavanzada.mx,VERIFIED,85,CUSTOM_SMTP,+524046313591,,DENUE,2026-09-06T14:49:28.011512+00:00
per_2ef027d2-9301-f9b5-cfbc-c9b63388023f,Adriana Benítez,Adriana,Benítez,Director de Operaciones,Chief Operating Officer (COO),C_SUITE,OPERATIONS,PROVEEDORA DEL PACIFICO S.C.,proveedoradelpacif.com,mx_eddfae1a-c6dd-f15f-0f9c-e247e96eb5c6,abenítez@proveedoradelpacif.com,VERIFIED,85,CUSTOM_SMTP,+524616412144,,DENUE,2026-09-06T14:49:28.011512+00:00
per_9d3c1c1a-7de7-e3d4-d7f5-f5e1169c9949,Daniel García,Daniel,García,Directora de Recursos Humanos,Chief Human Resources Officer (CHRO),C_SUITE,HR_PEOPLE,PROVEEDORA DEL NORTE S.A.S.,proveedoradelnorte.com,mx_e49b09cd-063a-a040-a455-2731f50358d3,dgarcía@proveedoradelnorte.com,VERIFIED,85,CUSTOM_SMTP,+524951871949,,DENUE,2026-09-06T14:49:28.011512+00:00
per_cbf578c5-7ba3-a3df-57c4-0a5ac6f50b41,Eduardo Salinas,Eduardo,Salinas,Director de Finanzas,Chief Financial Officer (CFO),C_SUITE,FINANCE,TECNOLOGIA NACIONAL S.A.S.,tecnologianacional.com.mx,mx_baa1e05b-fe7f-f8dd-422b-5588f1faff4e,esalinas@tecnologianacional.com.mx,VERIFIED,85,CUSTOM_SMTP,+529893031267,,DENUE,2026-09-06T14:49:28.011512+00:00
per_628f8715-2d2d-dac1-ca4d-e90adb6d34cf,Carlos Hernández,Carlos,Hernández,Director Comercial,Chief Revenue Officer (CRO),C_SUITE,SALES_MARKETING,PLASTICOS DEL CENTRO 29 S.A.P.I. DE C.V.,plasticosdelcentro.com.mx,mx_926d8046-9d1d-687b-7d81-3885eebb8c99,chernández@plasticosdelcentro.com.mx,VERIFIED,85,CUSTOM_SMTP,+526588577497,,DENUE,2026-09-06T14:49:28.011512+00:00
per_231768ca-bccd-1d8a-1062-955ce7af7ddc,Mariana González,Mariana,González,Director Comercial,Chief Revenue Officer (CRO),C_SUITE,SALES_MARKETING,FARMACEUTICA LATINOAMERICANA 21 S.A. DE C.V.,farmaceuticalatino.mx,mx_8828ab1b-4178-b8db-fac0-8b5c4f571118,mgonzález@farmaceuticalatino.mx,VERIFIED,85,CUSTOM_SMTP,+527665337809,,DENUE,2026-09-06T14:49:28.011512+00:00
per_810a7ea4-4be3-9816-75d6-61a496ea64ca,Adriana Navarro,Adriana,Navarro,Socio Fundador,Founder,FOUNDER,EXECUTIVE,INNOVACION INTERNACIONAL S.A.P.I. DE C.V.,innovacioninternac.com,mx_742e73fe-4ae7-b5b8-56e5-b94f8d77fd70,anavarro@innovacioninternac.com,VERIFIED,85,CUSTOM_SMTP,+526516053555,,DENUE,2026-09-06T14:49:28.011512+00:00
per_a85fa6a2-cfaf-a044-b6d8-44ee9398d2da,Fernando Morales,Fernando,Morales,Director de Tecnología,Chief Technology Officer (CTO),C_SUITE,ENGINEERING_IT,CONSTRUCCIONES DINAMICA S. DE R.L. DE C.V.,construccionesdina.com,mx_b1f0dbf9-bd76-f94e-a771-d2ce7898bf56,fmorales@construccionesdina.com,VERIFIED,85,CUSTOM_SMTP,+527237873700,,DENUE,2026-09-06T14:49:28.011512+00:00
per_95da261c-c108-cd81-4fee-109577203fc1,Luis García,Luis,García,Director General,Chief Executive Officer (CEO),C_SUITE,EXECUTIVE,COMERCIALIZADORA INTEGRAL S.A.S.,comercializadorain.com,mx_cbfd5051-c353-5fcd-bd8e-5b12dca08787,lgarcía@comercializadorain.com,VERIFIED,85,CUSTOM_SMTP,+527296654867,,DENUE,2026-09-06T14:49:28.011512+00:00
per_519cc80c-3b88-e663-a668-0357092f3111,Andrea López,Andrea,López,Director Comercial,Chief Revenue Officer (CRO),C_SUITE,SALES_MARKETING,ENERGIA EMPRESARIAL S.A.S.,energiaempresarial.mx,mx_b833e3df-e096-5bc9-d9be-6f42848e0f74,alópez@energiaempresarial.mx,VERIFIED,85,CUSTOM_SMTP,+528636205129,,DENUE,2026-09-06T14:49:28.011512+00:00
