id,clee,nom_estab,raz_soc,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,numero_ext,numero_int,nomb_asent,cod_postal,cve_ent,entidad,cve_mun,municipio,telefono,correoelec,sitio_web,latitud,longitud,fecha_alta,rfc,representante_legal,cargo_representante,correo_directo,telefono_directo
11,2556160000011,LOGISTICA DEL PACIFICO,LOGISTICA DEL PACIFICO S. DE R.L. DE C.V.,5616,"Servicios de seguridad privada, custodia y monitoreo satelital",51 a 100 personas,Av.,Benito Juárez,2944,Piso 9,Del Valle,25709,25,Sinaloa,010,Los Mochis,5245934998,contacto@logisticadelpacifi.mx,https://www.logisticadelpacifi.mx,19.075222,-103.3842,2024-01-15,LOD990620E6P,Eduardo García,Director de Finanzas,egarcía@logisticadelpacifi.mx,+525231954864
12,0833630000012,PROVEEDORA ESPECIALIZADA,PROVEEDORA ESPECIALIZADA S. DE R.L. DE C.V.,3363,Fabricación de equipo de transporte y autopartes,51 a 100 personas,Paseo,Lázaro Cárdenas,4481,,Centro,08118,08,Chihuahua,008,Delicias,9318593104,contacto@proveedoraespecial.mx,https://www.proveedoraespecial.mx,24.765305,-95.152993,2024-01-15,PRE040702A0I,Miguel García,Director de Operaciones,mgarcía@proveedoraespecial.mx,+529384256830
13,0246590000013,ENERGIA INTERNACIONAL,ENERGIA INTERNACIONAL S.A.P.I. DE C.V.,4659,Comercio al por mayor de maquinaria y equipo industrial,0 a 5 personas,Calzada,Cuauhtémoc,4462,,Roma Norte,02826,02,Baja California,005,Mexicali,6353816664,contacto@energiainternacion.mx,https://www.energiainternacion.mx,20.237856,-104.2493,2024-01-15,ENI1304238DY,Hector González,Director de Finanzas,hgonzález@energiainternacion.mx,+526352888149
14,2546590000014,METALURGICA MODERNA,METALURGICA MODERNA S.A.P.I. DE C.V.,4659,Comercio al por mayor de maquinaria y equipo industrial,251 y más personas,Av.,Juárez,1792,,Del Valle,25794,25,Sinaloa,009,Los Mochis,8541950703,contacto@metalurgicamoderna.com.mx,https://www.metalurgicamoderna.com.mx,15.702556,-101.789291,2024-01-15,MEM060120LW3,Eduardo Ruiz,Director de Finanzas,eruiz@metalurgicamoderna.com.mx,+528519359643
15,2246590000015,LOGISTICA ESPECIALIZADA,LOGISTICA ESPECIALIZADA S.C.,4659,Comercio al por mayor de maquinaria y equipo industrial,11 a 30 personas,Circuito,Cuauhtémoc,2019,,Jardines del Bosque,22571,22,Querétaro,020,El Marqués,8785987388,contacto@logisticaespeciali.mx,https://www.logisticaespeciali.mx,24.196906,-102.919245,2024-01-15,LOE970727YT1,Andrea Garza,Director de Tecnología,agarza@logisticaespeciali.mx,+528786245626
16,2254160000016,SERVICIOS INTEGRALES DEL NORTE,SERVICIOS INTEGRALES DEL NORTE S.A.P.I. DE C.V.,5416,Servicios de consultoría en administración y gestión empresarial,51 a 100 personas,Carretera,González Gallo,2564,Piso 5,Roma Norte,22623,22,Querétaro,003,Corregidora,5835898231,contacto@serviciosintegrale.com.mx,https://www.serviciosintegrale.com.mx,17.214402,-104.699656,2024-01-15,SED220604J6D,Claudia González,Director de Operaciones,cgonzález@serviciosintegrale.com.mx,+525817327221
17,0854160000017,PLASTICOS DINAMICA,PLASTICOS DINAMICA S.A.B. DE C.V.,5416,Servicios de consultoría en administración y gestión empresarial,0 a 5 personas,Calle,Paseo Cuauhnáhuac,1933,Piso 9,San Rafael,08315,08,Chihuahua,006,Ciudad Juárez,8058222170,contacto@plasticosdinamica.mx,https://www.plasticosdinamica.mx,20.539678,-103.557039,2024-01-15,PLD15092116L,Roberto Castro,Socio Fundador,rcastro@plasticosdinamica.mx,+528068134526
18,3032540000018,EQUIPOS Y SISTEMAS DINAMICA,EQUIPOS Y SISTEMAS DINAMICA S.A.P.I. DE C.V.,3254,Fabricación de productos farmacéuticos y medicamentos,51 a 100 personas,Av.,Félix U. Gómez,1878,,San Jerónimo,30447,30,Veracruz,011,Veracruz,4624607429,contacto@equiposysistemasdi.com,https://www.equiposysistemasdi.com,18.771065,-102.106597,2024-01-15,EQD161218KMX,Adriana Benítez,Director General,abenítez@equiposysistemasdi.com,+524628193168
19,2254160000019,DISTRIBUIDORA INTERNACIONAL,DISTRIBUIDORA INTERNACIONAL S.A.B. DE C.V.,5416,Servicios de consultoría en administración y gestión empresarial,31 a 50 personas,Av.,Félix U. Gómez,1884,,Polanco,22573,22,Querétaro,007,Corregidora,4118996712,contacto@distribuidorainter.mx,https://www.distribuidorainter.mx,23.922214,-104.531618,2024-01-15,DII130811YY9,Roberto Benítez,Director de Finanzas,rbenítez@distribuidorainter.mx,+524137640392
20,0933630000020,PLASTICOS AVANZADA,PLASTICOS AVANZADA S.C.,3363,Fabricación de equipo de transporte y autopartes,0 a 5 personas,Carretera,Revolución,3048,,Del Valle,09484,09,Ciudad de México,019,Cuauhtémoc,5532010306,contacto@plasticosavanzada.com,https://www.plasticosavanzada.com,16.36393,-97.288533,2024-01-15,PLA030115AQF,Roberto González,Director General,rgonzález@plasticosavanzada.com,+525541223218
21,1733630000021,DESARROLLOS MEXICANA,DESARROLLOS MEXICANA S. DE R.L. DE C.V.,3363,Fabricación de equipo de transporte y autopartes,0 a 5 personas,Paseo,Patriotismo,735,,Parque Industrial CIVAC,17714,17,Morelos,004,Cuautla,7127131606,contacto@desarrollosmexican.com.mx,https://www.desarrollosmexican.com.mx,21.793049,-96.180186,2024-01-15,DEM050806CF2,Andrea Villaseñor,Directora de Recursos Humanos,avillaseñor@desarrollosmexican.com.mx,+527150893633
22,1554160000022,PROVEEDORA DE OCCIDENTE,PROVEEDORA DE OCCIDENTE S. DE R.L. DE C.V.,5416,Servicios de consultoría en administración y gestión empresarial,0 a 5 personas,Calle,Patriotismo,4278,,Zona Industrial,15275,15,Estado de México,017,Cuautitlán Izcalli,6767293555,contacto@proveedoradeoccide.mx,https://www.proveedoradeoccide.mx,17.442809,-96.366346,2024-01-15,PRD120921OPE,Hector Salinas,Director General,hsalinas@proveedoradeoccide.mx,+526739627282
23,2156160000023,CONSTRUCCIONES MODERNA,CONSTRUCCIONES MODERNA S.A. DE C.V.,5616,"Servicios de seguridad privada, custodia y monitoreo satelital",0 a 5 personas,Carretera,Constitución,3853,,Santa María la Ribera,21198,21,Puebla,017,Puebla,6159226310,contacto@construccionesmode.com.mx,https://www.construccionesmode.com.mx,25.182048,-102.600353,2024-01-15,COM160412FPV,Sofia García,Director de Operaciones,sgarcía@construccionesmode.com.mx,+526176956330
24,2833630000024,GRUPO INDUSTRIAL DE LAS AMERICAS,GRUPO INDUSTRIAL DE LAS AMERICAS S.A.P.I. DE C.V.,3363,Fabricación de equipo de transporte y autopartes,6 a 10 personas,Calle,González Gallo,93,Piso 8,San Jerónimo,28310,28,Tamaulipas,001,Matamoros,6525307909,contacto@grupoindustrialdel.mx,https://www.grupoindustrialdel.mx,19.752509,-99.005382,2024-01-15,GRD950416123,Guillermo García,Director Comercial,ggarcía@grupoindustrialdel.mx,+526543272165
25,1454160000025,DISTRIBUIDORA NACIONAL,DISTRIBUIDORA NACIONAL S.C.,5416,Servicios de consultoría en administración y gestión empresarial,31 a 50 personas,Carretera,Félix U. Gómez,2017,Piso 9,Polanco,14273,14,Jalisco,004,Guadalajara,3337032552,contacto@distribuidoranacio.com.mx,https://www.distribuidoranacio.com.mx,17.159961,-99.495913,2024-01-15,DIN1506215TX,Guillermo Garza,Directora de Recursos Humanos,ggarza@distribuidoranacio.com.mx,+523369654018
26,0232510000026,COMERCIALIZADORA MODERNA,COMERCIALIZADORA MODERNA S. DE R.L. DE C.V.,3251,Fabricación de productos químicos básicos y resinas sintéticas,51 a 100 personas,Av.,Cuauhtémoc,1808,,Parque Industrial FINSA,02326,02,Baja California,008,Tecate,9477462426,contacto@comercializadoramo.mx,https://www.comercializadoramo.mx,22.051923,-96.783924,2024-01-15,COM1204248FL,Daniel Treviño,Director de Finanzas,dtreviño@comercializadoramo.mx,+529447115649
27,0848410000027,GRUPO INDUSTRIAL LATINOAMERICANA,GRUPO INDUSTRIAL LATINOAMERICANA S. DE R.L. DE C.V.,4841,Transporte de carga general y logística multimodal,51 a 100 personas,Paseo,Morones Prieto,1466,,Santa Fe,08436,08,Chihuahua,002,Chihuahua,7989411165,contacto@grupoindustriallat.com.mx,https://www.grupoindustriallat.com.mx,24.812155,-96.271469,2024-01-15,GRL041226MJ6,Carlos Hernández,Director General,chernández@grupoindustriallat.com.mx,+527976649686
28,2254150000028,LOGISTICA EMPRESARIAL,LOGISTICA EMPRESARIAL S.C.,5415,Desarrollo de software y servicios de tecnología de información,11 a 30 personas,Boulevard,Industria Militar,2551,,Industrial Vallejo,22715,22,Querétaro,014,El Marqués,9569435745,contacto@logisticaempresari.com,https://www.logisticaempresari.com,18.385504,-97.54899,2024-01-15,LOE9708083L7,Claudia Mendoza,Socio Fundador,cmendoza@logisticaempresari.com,+529524519340
29,2246590000029,AUTOMOTRIZ DEL NORTE,AUTOMOTRIZ DEL NORTE S.A.S.,4659,Comercio al por mayor de maquinaria y equipo industrial,31 a 50 personas,Av.,Revolución,3451,Piso 8,Industrial Vallejo,22512,22,Querétaro,010,Corregidora,8656564094,contacto@automotrizdelnorte.com,https://www.automotrizdelnorte.com,24.021317,-105.070198,2024-01-15,AUD150304TR1,Javier Dominguez,Director Comercial,jdominguez@automotrizdelnorte.com,+528625139825
30,2146620000030,DISTRIBUIDORA ESTRATEGICA,DISTRIBUIDORA ESTRATEGICA S.A.S.,4662,Comercio al por mayor de artículos de ferretería y herramientas,101 a 250 personas,Boulevard,Adolfo López Mateos,2964,,San Rafael,21474,21,Puebla,009,Tehuacán,9419486601,contacto@distribuidoraestra.com,https://www.distribuidoraestra.com,17.28618,-101.288178,2024-01-15,DIE150517ZGO,Rodrigo Benítez,Director de Finanzas,rbenítez@distribuidoraestra.com,+529460210615
31,0133230000031,SERVICIOS INTEGRALES GLOBAL,SERVICIOS INTEGRALES GLOBAL S.A.B. DE C.V.,3323,Fabricación de estructuras metálicas y pailería industrial,51 a 100 personas,Circuito,Insurgentes Sur,1582,Piso 5,Industrial Vallejo,01387,01,Aguascalientes,007,Calvillo,5471772233,contacto@serviciosintegrale.com,https://www.serviciosintegrale.com,18.104719,-99.06073,2024-01-15,SEG9512198R2,Sofia Mendoza,Director de Operaciones,smendoza@serviciosintegrale.com,+525457912383
32,1732540000032,TRANSFORMADORA DEL BAJIO,TRANSFORMADORA DEL BAJIO S. DE R.L. DE C.V.,3254,Fabricación de productos farmacéuticos y medicamentos,0 a 5 personas,Paseo,5 de Mayo,1713,Piso 7,Parque Industrial Benito Juárez,17727,17,Morelos,018,Cuautla,6732996294,contacto@transformadoradelb.com.mx,https://www.transformadoradelb.com.mx,21.209693,-97.27085,2024-01-15,TRD0308150D0,Carlos Benítez,Director General,cbenítez@transformadoradelb.com.mx,+526721567277
33,0133630000033,CONSTRUCCIONES DINAMICA 7,CONSTRUCCIONES DINAMICA 7 S.A. DE C.V.,3363,Fabricación de equipo de transporte y autopartes,101 a 250 personas,Av.,González Gallo,3481,,Parque Industrial,01877,01,Aguascalientes,020,Aguascalientes,9568693529,contacto@construccionesdina.com,https://www.construccionesdina.com,24.585426,-98.142363,2024-01-15,COD210728N6G,Fernando Mendoza,Director General,fmendoza@construccionesdina.com,+529552194866
34,2646620000034,AUTOMOTRIZ DE OCCIDENTE 30,AUTOMOTRIZ DE OCCIDENTE 30 S.A. DE C.V.,4662,Comercio al por mayor de artículos de ferretería y herramientas,51 a 100 personas,Calle,Paseo Cuauhnáhuac,30,,Santa María la Ribera,26758,26,Sonora,015,Hermosillo,6553078848,contacto@automotrizdeoccide.com.mx,https://www.automotrizdeoccide.com.mx,22.448366,-95.918417,2024-01-15,AUD090527PGD,Jorge Dominguez,Director General,jdominguez@automotrizdeoccide.com.mx,+526575645948
35,1448410000035,METALURGICA AVANZADA,METALURGICA AVANZADA S.A. DE C.V.,4841,Transporte de carga general y logística multimodal,31 a 50 personas,Paseo,Manuel Ávila Camacho,963,,Del Valle,14817,14,Jalisco,003,Zapopan,3312737557,contacto@metalurgicaavanzad.com.mx,https://www.metalurgicaavanzad.com.mx,22.137136,-95.360821,2024-01-15,MEA19110477P,Gabriel Ruiz,Director General,gruiz@metalurgicaavanzad.com.mx,+523331528519
36,1132540000036,PLASTICOS DEL PACIFICO,PLASTICOS DEL PACIFICO S.A.B. DE C.V.,3254,Fabricación de productos farmacéuticos y medicamentos,51 a 100 personas,Av.,González Gallo,3016,,Centro,11348,11,Guanajuato,011,Celaya,8730258987,contacto@plasticosdelpacifi.com.mx,https://www.plasticosdelpacifi.com.mx,15.659839,-98.735788,2024-01-15,PLD170424147,Carlos Ruiz,Socio Fundador,cruiz@plasticosdelpacifi.com.mx,+528771344724
37,2432610000037,DISTRIBUIDORA AVANZADA 73,DISTRIBUIDORA AVANZADA 73 S.A.B. DE C.V.,3261,Fabricación de productos de plástico y polímeros para empaque,51 a 100 personas,Circuito,Revolución,2498,,San Jerónimo,24781,24,San Luis Potosí,014,Matehuala,6059882319,contacto@distribuidoraavanz.com,https://www.distribuidoraavanz.com,25.205722,-103.411513,2024-01-15,DIA160821JYR,David Benítez,Socio Fundador,dbenítez@distribuidoraavanz.com,+526081286202
38,1456160000038,COMERCIALIZADORA MEXICANA,COMERCIALIZADORA MEXICANA S.A.P.I. DE C.V.,5616,"Servicios de seguridad privada, custodia y monitoreo satelital",51 a 100 personas,Carretera,Félix U. Gómez,3336,,Santa Fe,14368,14,Jalisco,006,Zapopan,3376745209,contacto@comercializadorame.mx,https://www.comercializadorame.mx,23.198354,-101.758808,2024-01-15,COM090607QX6,Sofia Vega,Director de Operaciones,svega@comercializadorame.mx,+523379713885
39,1733630000039,DESARROLLOS CENTRAL,DESARROLLOS CENTRAL S.C.,3363,Fabricación de equipo de transporte y autopartes,251 y más personas,Circuito,Patriotismo,2640,Piso 13,Parque Industrial Benito Juárez,17629,17,Morelos,015,Jiutepec,6491551433,contacto@desarrolloscentral.com,https://www.desarrolloscentral.com,25.288346,-97.564701,2024-01-15,DEC020901R99,Fernando Alarcón,Directora de Recursos Humanos,falarcón@desarrolloscentral.com,+526474339888
40,0246590000040,MANUFACTURA DEL CENTRO,MANUFACTURA DEL CENTRO S.A.P.I. DE C.V.,4659,Comercio al por mayor de maquinaria y equipo industrial,31 a 50 personas,Paseo,Morones Prieto,2255,,Santa Fe,02679,02,Baja California,015,Tecate,7164906719,contacto@manufacturadelcent.mx,https://www.manufacturadelcent.mx,16.852598,-99.151835,2024-01-15,MAD061109DBX,Adriana Garza,Directora de Recursos Humanos,agarza@manufacturadelcent.mx,+527127328415
41,0956160000041,ALIMENTOS Y BEBIDAS DEL CENTRO,ALIMENTOS Y BEBIDAS DEL CENTRO S.A.P.I. DE C.V.,5616,"Servicios de seguridad privada, custodia y monitoreo satelital",31 a 50 personas,Circuito,Benito Juárez,4373,,Parque Industrial FINSA,09775,09,Ciudad de México,014,Coyoacán,5575119917,contacto@alimentosybebidasd.mx,https://www.alimentosybebidasd.mx,21.886529,-99.054893,2024-01-15,ALD961016I40,Luis Castro,Director de Finanzas,lcastro@alimentosybebidasd.mx,+525533828325
42,0554160000042,PLASTICOS DE OCCIDENTE,PLASTICOS DE OCCIDENTE S. DE R.L. DE C.V.,5416,Servicios de consultoría en administración y gestión empresarial,6 a 10 personas,Boulevard,Juárez,3229,Piso 12,Parque Industrial Benito Juárez,05504,05,Coahuila,006,Ramos Arizpe,7817510611,contacto@plasticosdeocciden.mx,https://www.plasticosdeocciden.mx,20.558081,-102.428874,2024-01-15,PLD970403VMR,Carlos Treviño,Director Comercial,ctreviño@plasticosdeocciden.mx,+527868498258
43,0823820000043,LOGISTICA INTEGRAL,LOGISTICA INTEGRAL S.A. DE C.V.,2382,Instalaciones eléctricas y electromecánicas en construcciones,251 y más personas,Av.,Paseo Cuauhnáhuac,173,,Del Valle,08359,08,Chihuahua,019,Chihuahua,8416396963,contacto@logisticaintegral.mx,https://www.logisticaintegral.mx,21.715511,-103.37835,2024-01-15,LOI040202PU5,Eduardo Salinas,Director de Operaciones,esalinas@logisticaintegral.mx,+528470164560
44,2533630000044,EQUIPOS Y SISTEMAS INTERNACIONAL,EQUIPOS Y SISTEMAS INTERNACIONAL S.C.,3363,Fabricación de equipo de transporte y autopartes,251 y más personas,Paseo,Juárez,199,,Roma Norte,25604,25,Sinaloa,018,Guasave,6382359049,contacto@equiposysistemasin.mx,https://www.equiposysistemasin.mx,21.101855,-98.337134,2024-01-15,EQI060521AI4,Hector Ruiz,Director General,hruiz@equiposysistemasin.mx,+526339435276
45,1548410000045,EQUIPOS Y SISTEMAS DEL BAJIO,EQUIPOS Y SISTEMAS DEL BAJIO S.C.,4841,Transporte de carga general y logística multimodal,0 a 5 personas,Boulevard,Manuel Ávila Camacho,1007,,Centro,15125,15,Estado de México,006,Cuautitlán Izcalli,4547064720,contacto@equiposysistemasde.mx,https://www.equiposysistemasde.mx,25.098107,-100.615406,2024-01-15,EQD08020574D,Luis Castro,Directora de Recursos Humanos,lcastro@equiposysistemasde.mx,+524595421269
46,0854160000046,FARMACEUTICA EMPRESARIAL,FARMACEUTICA EMPRESARIAL S.A. DE C.V.,5416,Servicios de consultoría en administración y gestión empresarial,31 a 50 personas,Paseo,Juárez,1149,,Del Valle,08847,08,Chihuahua,013,Cuauhtémoc,5372132150,contacto@farmaceuticaempres.mx,https://www.farmaceuticaempres.mx,21.111363,-100.179891,2024-01-15,FAE110328N1G,Roberto Vega,Director Comercial,rvega@farmaceuticaempres.mx,+525395009450
47,0156160000047,ENERGIA INTEGRAL,ENERGIA INTEGRAL S.C.,5616,"Servicios de seguridad privada, custodia y monitoreo satelital",6 a 10 personas,Paseo,Reforma,3781,,Roma Norte,01600,01,Aguascalientes,012,Aguascalientes,4243787574,contacto@energiaintegral31.com.mx,https://www.energiaintegral31.com.mx,17.550355,-99.771435,2024-01-15,ENI9611181TV,Adriana Dominguez,Director de Operaciones,adominguez@energiaintegral31.com.mx,+524280506155
48,2648410000048,CONSULTORES DEL BAJIO,CONSULTORES DEL BAJIO S.A. DE C.V.,4841,Transporte de carga general y logística multimodal,0 a 5 personas,Av.,Revolución,986,Piso 14,Parque Industrial CIVAC,26620,26,Sonora,002,Nogales,4579124907,contacto@consultoresdelbaji.mx,https://www.consultoresdelbaji.mx,23.481648,-99.425203,2024-01-15,COD001206O1Y,Sofia Treviño,Director de Tecnología,streviño@consultoresdelbaji.mx,+524595426534
49,0248410000049,CONSTRUCCIONES DEL BAJIO,CONSTRUCCIONES DEL BAJIO S.A.S.,4841,Transporte de carga general y logística multimodal,101 a 250 personas,Boulevard,Paseo Cuauhnáhuac,3472,Piso 8,Industrial Vallejo,02824,02,Baja California,015,Tecate,7583471222,contacto@construccionesdelb.com,https://www.construccionesdelb.com,19.161357,-95.242542,2024-01-15,COD1804181R2,Guillermo Castro,Director Comercial,gcastro@construccionesdelb.com,+527561238856
50,0848410000050,DISTRIBUIDORA ESTRATEGICA,DISTRIBUIDORA ESTRATEGICA S.C.,4841,Transporte de carga general y logística multimodal,51 a 100 personas,Paseo,Lázaro Cárdenas,3033,,Del Valle,08176,08,Chihuahua,017,Delicias,7323731752,contacto@distribuidoraestra.com.mx,https://www.distribuidoraestra.com.mx,21.174946,-102.271141,2024-01-15,DIE2207026MU,Javier Treviño,Director de Operaciones,jtreviño@distribuidoraestra.com.mx,+527338636135
51,2254150000051,PLASTICOS CENTRAL 91,PLASTICOS CENTRAL 91 S.C.,5415,Desarrollo de software y servicios de tecnología de información,51 a 100 personas,Carretera,Adolfo López Mateos,870,Piso 9,Santa María la Ribera,22140,22,Querétaro,020,Querétaro,7483159272,contacto@plasticoscentral.com.mx,https://www.plasticoscentral.com.mx,21.773623,-99.738672,2024-01-15,PLC160912NME,Sofia Morales,Directora de Recursos Humanos,smorales@plasticoscentral.com.mx,+527487129834
52,2448410000052,EQUIPOS Y SISTEMAS EMPRESARIAL,EQUIPOS Y SISTEMAS EMPRESARIAL S. DE R.L. DE C.V.,4841,Transporte de carga general y logística multimodal,51 a 100 personas,Boulevard,Félix U. Gómez,2014,,Centro,24626,24,San Luis Potosí,016,San Luis Potosí,7966234109,contacto@equiposysistemasem.mx,https://www.equiposysistemasem.mx,24.258046,-95.29668,2024-01-15,EQE200704QJM,Guillermo Valenzuela,Director de Operaciones,gvalenzuela@equiposysistemasem.mx,+527967233602
53,2554150000053,SERVICIOS INTEGRALES DINAMICA 21,SERVICIOS INTEGRALES DINAMICA 21 S.A.B. DE C.V.,5415,Desarrollo de software y servicios de tecnología de información,101 a 250 personas,Av.,Juárez,2699,Piso 15,Parque Industrial,25831,25,Sinaloa,011,Los Mochis,4367383030,contacto@serviciosintegrale.mx,https://www.serviciosintegrale.mx,21.471909,-101.086834,2024-01-15,SED120110CNE,Jorge Morales,Director de Finanzas,jmorales@serviciosintegrale.mx,+524351897563
54,2523820000054,EQUIPOS Y SISTEMAS DEL BAJIO,EQUIPOS Y SISTEMAS DEL BAJIO S. DE R.L. DE C.V.,2382,Instalaciones eléctricas y electromecánicas en construcciones,31 a 50 personas,Calzada,Cuauhtémoc,2790,,Roma Norte,25743,25,Sinaloa,017,Los Mochis,4765140484,contacto@equiposysistemasde.com,https://www.equiposysistemasde.com,17.76026,-102.123612,2024-01-15,EQD960305I7D,Patricia González,Director Comercial,pgonzález@equiposysistemasde.com,+524764897916
55,0854160000055,FARMACEUTICA DINAMICA 64,FARMACEUTICA DINAMICA 64 S.A.S.,5416,Servicios de consultoría en administración y gestión empresarial,51 a 100 personas,Circuito,González Gallo,3034,Piso 5,Parque Industrial CIVAC,08473,08,Chihuahua,003,Chihuahua,9343046059,contacto@farmaceuticadinami.com.mx,https://www.farmaceuticadinami.com.mx,20.061957,-96.086099,2024-01-15,FAD020110GAM,David Benítez,Socio Fundador,dbenítez@farmaceuticadinami.com.mx,+529344801413
56,2146620000056,INDUSTRIAS DE LAS AMERICAS 64,INDUSTRIAS DE LAS AMERICAS 64 S.A.S.,4662,Comercio al por mayor de artículos de ferretería y herramientas,6 a 10 personas,Calle,Revolución,3115,Piso 4,Santa María la Ribera,21879,21,Puebla,011,Tehuacán,4949645308,contacto@industriasdelasame.mx,https://www.industriasdelasame.mx,18.935792,-102.817364,2024-01-15,IND980915XDR,Mariana Salinas,Director de Tecnología,msalinas@industriasdelasame.mx,+524959118609
